title,score,date,airline,source
"""Service is now worse than budget carriers""",2.5,2023-03-01,LUFTHANSA,SKYTRAX
"""deflecting from service failure""",0.5,2023-02-01,LUFTHANSA,SKYTRAX
"""institutional at best""",1.5,2023-03-01,LUFTHANSA,SKYTRAX
"""they lost my suitcase again""",0.5,2023-02-01,LUFTHANSA,SKYTRAX
"""absolutely horrible experience""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""offered me no form of compensation""",0.5,2023-02-01,LUFTHANSA,SKYTRAX
"""Be cautious if you book this airline""",0.5,2023-02-01,LUFTHANSA,SKYTRAX
"""waited and waited and sent emails""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""deterioration in standards""",0.5,2023-02-01,LUFTHANSA,SKYTRAX
"""Excellent flights on Lufthansa""",4.5,2023-02-01,LUFTHANSA,SKYTRAX
"""discomfort from seats to toilets""",0.5,2023-02-01,LUFTHANSA,SKYTRAX
"""My luggage was delayed""",0.5,2023-01-01,LUFTHANSA,SKYTRAX
"""never stated the cancellation reason""",0.5,2023-02-01,LUFTHANSA,SKYTRAX
"""cancelled due to weather""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""the food was horrible""",0.5,2023-02-01,LUFTHANSA,SKYTRAX
"""Very disappointing experience""",0.5,2023-02-01,LUFTHANSA,SKYTRAX
"""I would only have 18 euros for my meals""",1.5,2023-02-01,LUFTHANSA,SKYTRAX
"""paid for an extra leg room seat""",0.5,2023-02-01,LUFTHANSA,SKYTRAX
"""a very good experience""",5,2023-02-01,LUFTHANSA,SKYTRAX
"""Plane old but good condition""",3.5,2023-02-01,LUFTHANSA,SKYTRAX
"""flight attendant that were spectacular""",3,2023-02-01,LUFTHANSA,SKYTRAX
"""she went above and beyond""",3.5,2023-02-01,LUFTHANSA,SKYTRAX
"""service constantly deteriorating""",0.5,2023-01-01,LUFTHANSA,SKYTRAX
"""I am pleasantly surprised""",4,2023-02-01,LUFTHANSA,SKYTRAX
"""Very personal and friendly welcoming on board""",4,2023-01-01,LUFTHANSA,SKYTRAX
"""disorganization and lack of communication""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""I cannot see the difference with low cost companies""",1.5,2023-01-01,LUFTHANSA,SKYTRAX
"""not at all bothered to reply""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""All sections with delay""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""Staff were fine but not overly helpful""",1.5,2023-01-01,LUFTHANSA,SKYTRAX
"""it was my key to getting some shut-eye""",3.5,2023-01-01,LUFTHANSA,SKYTRAX
"""appalling lack of communication""",1.5,2022-11-01,LUFTHANSA,SKYTRAX
"""last time flying with Lufthansa""",0.5,2023-01-01,LUFTHANSA,SKYTRAX
"""They cancelled my flight and refuse to communicate""",0.5,2023-01-01,LUFTHANSA,SKYTRAX
"""Shocking airline for long haul""",1,2023-01-01,LUFTHANSA,SKYTRAX
"""check your luggage before leaving the airport""",0.5,2023-01-01,LUFTHANSA,SKYTRAX
"""stranded in a foreign country""",1,2022-07-01,LUFTHANSA,SKYTRAX
"""Suitcase lost for over 2 weeks""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
